Cod UF;UF;Sgl UF;Cod IBGE;Nome Município;Latitude;Longitude;Sgl Região;Região;Chave_Localidade;Nome Municipio Tratado
31;Minas Gerais;MG;3123528;DURANDÉ;-20,2063;-41,7981;SE;Sudeste;MG_DURANDE;DURANDE
31;Minas Gerais;MG;3123601;ELÓI MENDES;-21,6093;-45,5695;SE;Sudeste;MG_ELOI MENDES;ELOI MENDES
31;Minas Gerais;MG;3123700;ENGENHEIRO CALDAS;-19,207;-42,0507;SE;Sudeste;MG_ENGENHEIRO CALDAS;ENGENHEIRO CALDAS
31;Minas Gerais;MG;3123809;ENGENHEIRO NAVARRO;-17,2836;-43,9473;SE;Sudeste;MG_ENGENHEIRO NAVARRO;ENGENHEIRO NAVARRO
31;Minas Gerais;MG;3123858;ENTRE FOLHAS;-19,6223;-42,2309;SE;Sudeste;MG_ENTRE FOLHAS;ENTRE FOLHAS
31;Minas Gerais;MG;3123908;ENTRE RIOS DE MINAS;-20,6711;-44,0658;SE;Sudeste;MG_ENTRE RIOS DE MINAS;ENTRE RIOS DE MINAS
31;Minas Gerais;MG;3124005;ERVÁLIA;-20,8407;-42,6548;SE;Sudeste;MG_ERVALIA;ERVALIA
31;Minas Gerais;MG;3124104;ESMERALDAS;-19,763;-44,314;SE;Sudeste;MG_ESMERALDAS;ESMERALDAS
31;Minas Gerais;MG;3124203;ESPERA FELIZ;-20,6512;-41,9123;SE;Sudeste;MG_ESPERA FELIZ;ESPERA FELIZ
31;Minas Gerais;MG;3124302;ESPINOSA;-14,9254;-42,8094;SE;Sudeste;MG_ESPINOSA;ESPINOSA
31;Minas Gerais;MG;3124401;ESPÍRITO SANTO DO DOURADO;-22,0458;-45,9552;SE;Sudeste;MG_ESPIRITO SANTO DO DOURADO;ESPIRITO SANTO DO DOURADO
31;Minas Gerais;MG;3124500;ESTIVA;-22,4582;-46,0194;SE;Sudeste;MG_ESTIVA;ESTIVA
31;Minas Gerais;MG;3124609;ESTRELA DALVA;-21,7417;-42,4578;SE;Sudeste;MG_ESTRELA DALVA;ESTRELA DALVA
31;Minas Gerais;MG;3124708;ESTRELA DO INDAIÁ;-19,5188;-45,79;SE;Sudeste;MG_ESTRELA DO INDAIA;ESTRELA DO INDAIA
31;Minas Gerais;MG;3124807;ESTRELA DO SUL;-18,7404;-47,696;SE;Sudeste;MG_ESTRELA DO SUL;ESTRELA DO SUL
31;Minas Gerais;MG;3124906;EUGENÓPOLIS;-21,1006;-42,1882;SE;Sudeste;MG_EUGENOPOLIS;EUGENOPOLIS
31;Minas Gerais;MG;3125002;EWBANK DA CÂMARA;-21,5503;-43,5072;SE;Sudeste;MG_EWBANK DA CAMARA;EWBANK DA CAMARA
31;Minas Gerais;MG;3125101;EXTREMA;-22,8545;-46,3182;SE;Sudeste;MG_EXTREMA;EXTREMA
31;Minas Gerais;MG;3125200;FAMA;-21,4094;-45,829;SE;Sudeste;MG_FAMA;FAMA
31;Minas Gerais;MG;3125309;FARIA LEMOS;-20,8102;-42,0217;SE;Sudeste;MG_FARIA LEMOS;FARIA LEMOS
31;Minas Gerais;MG;3125408;FELÍCIO DOS SANTOS;-18,076;-43,2426;SE;Sudeste;MG_FELICIO DOS SANTOS;FELICIO DOS SANTOS
31;Minas Gerais;MG;3125507;SÃO GONÇALO DO RIO PRETO;-17,9993;-43,3817;SE;Sudeste;MG_SAO GONCALO DO RIO PRETO;SAO GONCALO DO RIO PRETO
31;Minas Gerais;MG;3125606;FELISBURGO;-16,6353;-40,7608;SE;Sudeste;MG_FELISBURGO;FELISBURGO
31;Minas Gerais;MG;3125705;FELIXLÂNDIA;-18,7546;-44,9006;SE;Sudeste;MG_FELIXLANDIA;FELIXLANDIA
31;Minas Gerais;MG;3125804;FERNANDES TOURINHO;-19,1525;-42,0802;SE;Sudeste;MG_FERNANDES TOURINHO;FERNANDES TOURINHO
31;Minas Gerais;MG;3125903;FERROS;-19,2348;-43,0196;SE;Sudeste;MG_FERROS;FERROS
31;Minas Gerais;MG;3125952;FERVEDOURO;-20,7265;-42,2794;SE;Sudeste;MG_FERVEDOURO;FERVEDOURO
